"source_file","ref_id","source","year","location_country","location_region","lat","lon","n_obs","obs_type","pred_class","pred_order","pred_genus","pred_species","pred_mass_g","pred_meas_note","prey_class","prey_order","prey_family","prey_genus","prey_species","prey_mass_g","count","certainty","notes"
"legacy_pre_intake",1,"Dolia_2018_HerpetolNotes_11_217",2018,"India","Uttarakhand_Kumaon_Sattal","","",1,"Regurgitation","Reptilia","Squamata","Ophiophagus","hannah",NA,"total_length_~9-10_ft_=_2700-3000mm","Reptilia","Squamata","Colubridae","Ptyas","mucosa",NA,1,1,"Mr Mohammed Younus observed adult King Cobra (~9-10 ft) in Kohinoor Ground Sattal Uttarakhand on 12 Oct 2012 regurgitate two snakes after being disturbed; first regurgitated snake was Indian Rat Snake; no body masses reported"
"legacy_pre_intake",2,"Dolia_2018_HerpetolNotes_11_217",2018,"India","Uttarakhand_Kumaon_Sattal","","",1,"Regurgitation","Reptilia","Squamata","Ophiophagus","hannah",NA,"total_length_~9-10_ft_=_2700-3000mm","Reptilia","Squamata","Viperidae","Trimeresurus","septentrionalis",NA,1,1,"same King Cobra regurgitation event 12 Oct 2012; second prey was Himalayan White-lipped Pit Viper; first report of King Cobra eating T. septentrionalis"
"legacy_pre_intake",3,"Bhaisare_et_al_2010",2010,"India","Karnataka_Agumbe_Shimoga","","",1,"Telemetry_radio_tracking","Reptilia","Squamata","Ophiophagus","hannah",NA,"adult_male","Reptilia","Squamata","Viperidae","Trimeresurus","malabaricus",NA,24,1,"cited in Dolia 2018; one radio-tagged male King Cobra in Agumbe Karnataka consumed 26 pit vipers in 6-month period; 24 were T. malabaricus"
"legacy_pre_intake",4,"Bhaisare_et_al_2010",2010,"India","Karnataka_Agumbe_Shimoga","","",1,"Telemetry_radio_tracking","Reptilia","Squamata","Ophiophagus","hannah",NA,"adult_male","Reptilia","Squamata","Viperidae","Hypnale","hypnale",NA,2,1,"same Agumbe radio-tracked male; 2 of 26 prey were hump-nosed pit viper H. hypnale"
"legacy_pre_intake",5,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_Suojia","~34.0","~94.5",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Vulpes","ferrilata",NA,"plateau_specialist","Mammalia","Lagomorpha","Ochotonidae","Ochotona","curzoniae",NA,1,1,"Tibetan fox at Suojia ate ONE lagomorph species (plateau pika) per main text; sample size 1 prey species; detailed % composition in supplement Data S1 not extracted here; suojia n=5-165 across all predators"
"legacy_pre_intake",6,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_Zhaqing","~33.5","~95.5",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Vulpes","ferrilata",NA,"plateau_specialist","Mammalia","Lagomorpha","Ochotonidae","Ochotona","curzoniae",NA,1,1,"Tibetan fox at Zhaqing - same pika specialization noted in main text; detailed data in Data S1"
"legacy_pre_intake",7,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_Angsai","~33.0","~96.0",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Vulpes","ferrilata",NA,"plateau_specialist","Mammalia","Lagomorpha","Ochotonidae","Ochotona","curzoniae",NA,1,1,"Tibetan fox at Angsai - same pika specialization; detailed data in Data S1"
"legacy_pre_intake",8,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Otocolobus","manul",NA,"Pallas_cat","Mammalia","Lagomorpha","Ochotonidae","Ochotona","spp",NA,NA,0.5,"Pallas's cat 'consumed primarily lagomorphs and also rodents' per main text; species-level breakdown in supplement Data S1; recorded here at genus level"
"legacy_pre_intake",9,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Otocolobus","manul",NA,"Pallas_cat","Mammalia","Rodentia","","","",NA,NA,0.5,"Pallas's cat also rodents per main text; family/species detail in Data S1"
"legacy_pre_intake",10,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Vulpes","vulpes",NA,"red_fox","","","","","",NA,NA,0.5,"red fox = diet generalist per main text; 21 prey species in Angsai (highest in study); detailed prey composition in Data S1"
"legacy_pre_intake",11,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Canis","lupus",NA,"gray_wolf","","","","","",NA,NA,0.5,"gray wolf = diet generalist per main text; key prey include bharal (Pseudois nayaur) and yak (Bos grunniens) per network/keystone analysis; species-level breakdown in Data S1"
"legacy_pre_intake",12,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Panthera","uncia",NA,"snow_leopard","","","","","",NA,NA,0.5,"snow leopard = diet specialist per main text; prey diversity on lower end; key prey include bharal (Pseudois nayaur); detailed data in Data S1"
"legacy_pre_intake",13,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Panthera","pardus",NA,"common_leopard","","","","","",NA,NA,0.5,"common leopard = diet specialist per main text; detailed data in Data S1"
"legacy_pre_intake",14,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Ursus","arctos",NA,"brown_bear","","","","","",NA,NA,0.5,"brown bear = diet generalist with high prey diversity per main text; detailed data in Data S1"
"legacy_pre_intake",15,"Lu_et_al_2023_CurrBiol_33_647",2023,"China","Qinghai-Tibet_Plateau_3sites","","",NA,"Fecal_DNA_metabarcoding","Mammalia","Carnivora","Canis","lupus_familiaris",NA,"domestic_dog","","","","","",NA,NA,0.5,"domestic dog included in study; detailed prey in Data S1"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",16,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Mammalia","Rodentia","Muridae","Apodemus","sylvaticus",15.13,3,1,"Table2 B=45.4g/3"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",17,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Mammalia","Rodentia","Muridae","Mus","domesticus",12.5,1,1,"Table2 B=12.5g"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",18,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Mammalia","Rodentia","Cricetidae","Clethrionomys","glareolus",34.38,4,1,"Table2 B=137.5g/4; =Myodes glareolus"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",19,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Mammalia","Rodentia","Muridae","Rattus","norvegicus",160.75,2,1,"Table2 B=321.5g/2"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",20,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Aves","Passeriformes","Turdidae","Turdus","merula",7.23,3,1,"nestling; Table2 B=21.7g/3"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",21,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Aves","Passeriformes","Turdidae","Turdus","merula",26,1,1,"adult (as reported); Table2 B=26g"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",22,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Stomach","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Aves",NA,NA,"Aves","egg",11,1,1,"unidentified bird egg; Table2 B=11g"
"new_HJ07-1_pp1-5 The diet of the four-lined snake (Elaphe quatuorlineata) in Mediterranean central Italy.pdf",23,"Capizzi_Luiselli_1997_HerpetolJ_7_1",1997,"Italy","Tolfa_Mountains_Rome",NA,NA,NA,"Scat","Reptilia","Squamata","Elaphe","quatuorlineata",376.23,"study mean body mass 376.23+-215g (n=31, incl. juveniles); Table2 stomach PPMR n=13","Reptilia","Squamata","Lacertidae","Podarcis","muralis",NA,3,1,"juvenile snake diet; from FAECES (Table1), no mass reported -> mass layer"
