"source_file","ref_id","paper","year","evidence_type","specimen_pred","clade_pred","name_pred","pred_femur_l_mm","pred_femur_w_mm","pred_humerus_l_mm","pred_humerus_w_mm","pred_radius_l_mm","pred_tibia_l_mm","pred_tibia_w_mm","pred_dentary_l_mm","pred_skull_l_mm","pred_total_l_mm","pred_other_meas","pred_mass_g","pred_mass_low_g","pred_mass_high_g","pred_mass_method","specimen_prey","clade_prey","name_prey","prey_femur_l_mm","prey_humerus_l_mm","prey_radius_l_mm","prey_ulna_l_mm","prey_tibia_l_mm","prey_fibula_l_mm","prey_dentary_l_mm","prey_skull_l_mm","prey_total_l_mm","prey_other_meas","prey_mass_g","prey_mass_low_g","prey_mass_high_g","prey_mass_method","certainty","notes","page_ref"
"legacy_pre_intake",1,"Hu_et_al_2005_Nature",2005,"gut_content","IVPP V13605","Mammalia_Triconodonta","Repenomamus_robustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5000,4000,6000,"extant_mammal_regression_Damuth_MacFadden_1990","","Ornithischia_Ceratopsia","Psittacosaurus_juvenile",NA,21,18,19,36,35,NA,NA,140,"",NA,NA,NA,"length_in_text","1","juvenile Psittacosaurus partial skeleton in ribcage; head-body length estimated ~140 mm = ~1/3 of R. robustus HB; bones disarticulated/broken so swallowed in chunks","150"
"legacy_pre_intake",2,"Hu_et_al_2005_Nature",2005,"body_size_only","IVPP V14155","Mammalia_Triconodonta","Repenomamus_giganticus",NA,NA,NA,NA,NA,NA,NA,NA,160,1046,"trunk_522mm; tail_preserved_364mm",13000,12000,14000,"extant_mammal_regression_Damuth_MacFadden_1990","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","holotype of new species; head-body 60% longer than R. robustus; skull 50% larger; no gut contents described for this specimen","149",NA
"legacy_pre_intake",3,"Dalsatt_et_al_2006_Naturwissenschaften",2006,"gut_content_crop","IVPP V13313","Aves_Confuciusornithidae","Confuciusornis_sanctus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","Actinopterygii_Kuyangichthyidae","cf_Jinanichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cluster_dia_6mm; 7-9_vert+ribs",NA,NA,NA,"","1","food remains in alimentary system (probable crop) of C. sanctus; first dietary evidence for any confuciusornithid; fish bones disarticulated/slightly fragmented in spherical cluster ~6 mm; from Jiufotang Fm (Aptian); no mass estimates in paper","445"
"legacy_pre_intake",4,"Kear_2006_BiolLett",2006,"gut_content","AM F87832","Testudines_Protostegidae","cf_Notochelone_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carapace_50-60mm; gastric_mass_20-30mm_thick",NA,NA,NA,"not_estimated","","Bivalvia_Inoceramidae","Inoceramus_or_Anopaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shell_fragments_5-20mm_across_up_to_4mm_thick",NA,NA,NA,"not_estimated","1","protostegid turtle with inoceramid bivalve gastric mass; Toolebuc Formation (Upper Albian) Australia; small specimen (carapace ~50-60 mm)","113"
"legacy_pre_intake",5,"Kear_2006_BiolLett",2006,"gut_content","QM F49190","Testudines_Protostegidae","cf_Notochelone_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carapace_50-60mm; gastric_mass_20-30mm_thick",NA,NA,NA,"not_estimated","","Bivalvia_Inoceramidae","Inoceramus_or_Anopaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shell_fragments_5-20mm_across",NA,NA,NA,"not_estimated","1","second protostegid turtle specimen, same evidence as AM F87832","113"
"legacy_pre_intake",6,"Kear_2006_BiolLett",2006,"gut_content","SAM P41107","Testudines_Protostegidae","cf_Notochelone_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carapace_50-60mm; gastric_mass_20-30mm_thick",NA,NA,NA,"not_estimated","","Bivalvia_Inoceramidae","Inoceramus_or_Anopaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shell_fragments_5-20mm_across",NA,NA,NA,"not_estimated","1","third protostegid turtle specimen","113"
"legacy_pre_intake",7,"Kear_2006_BiolLett",2006,"coprolite","SAM P40364","Testudines_Protostegidae","cf_Notochelone_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"not_estimated","","Bivalvia_Inoceramidae","Inoceramus_or_Anopaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"coprolite_50-100mm_total_length",NA,NA,NA,"not_estimated","0.7","coprolite from same deposits with identical inoceramid shell accumulations; provenance to protostegid by analogy with gut contents","114"
"legacy_pre_intake",8,"Kear_2006_BiolLett",2006,"coprolite","SAM P40534","Testudines_Protostegidae","cf_Notochelone_sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"not_estimated","","Bivalvia_Inoceramidae","Inoceramus_or_Anopaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"coprolite_with_stacked_shell_fragments",NA,NA,NA,"not_estimated","0.7","second coprolite specimen","114"
"legacy_pre_intake",9,"Zhou_et_al_2013_HistBiol",2013,"gut_content+throat","IVPP V17078","Aves_Ornithuromorpha","Piscivoravis_lii",56,NA,74,NA,75,71,NA,NA,NA,NA,"ulna_77; scapula_61; coracoid_35; pubis_63; fibula_33; tmt_35; mc_major_34; mc_minor_34; femur:tibtars=0.79; forelimb:hindlimb=1.14",NA,NA,NA,"not_estimated","","Actinopterygii","fish_indet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bones_ventral_to_dentary_and_in_stomach",NA,NA,NA,"not_estimated","1","new gen+sp Piscivoravis lii; nearly complete subadult skeleton; food remains preserved in abdominal area + ventral to dentary; piscivorous; Jiufotang Fm (Aptian); no body mass estimate or fish ID given","3"
"legacy_pre_intake",10,"Godoy_et_al_2014_PLoSONE",2014,"gut_content_abdominal","LPRP/USP 0229a","Crocodyliformes_Baurusuchidae","Aplestosuchus_sordidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"total_length_>1m_skull_to_tailbase",NA,NA,NA,"not_estimated","LPRP/USP 0229b","Crocodyliformes_Sphagesauridae","Sphagesauridae_indet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isolated_teeth+skull_bones",NA,NA,NA,"not_estimated","1","new gen+sp Aplestosuchus sordidus; nearly complete articulated skeleton; Adamantina Fm (Late K) Brazil; sphagesaurid prey in abdominal cavity = first direct evidence of interspecific predation among crocodyliforms; baurusuchid was apex predator vs lower-trophic sphagesaurid; detailed bone measurements likely beyond page 6 of paper","2"
"legacy_pre_intake",11,"Therrien_et_al_2023_SciAdv",2023,"gut_content","TMP 2009.12.14","Theropoda_Tyrannosauridae","Gorgosaurus_libratus_juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age_5-7yr; <13%_adult_mass",335000,NA,NA,"femur_length_regression","posterior_Citipes_individual","Theropoda_Caenagnathidae","Citipes_elegans_yearling",NA,NA,NA,NA,NA,NA,NA,NA,NA,"articulated_left_leg+metatarsus_+_caudals; ~45-60%_adult_Citipes_mass; <1yr_old",10500,9000,12000,"extant_predator_prey_regression_calibrated","1","Therrien et al. 2023 Sci Adv; first in situ stomach contents in a tyrannosaur; two Citipes ingested in separate feeding events; posterior individual ingested first (more digested, phalanges disarticulated, bone surface more etched); juvenile Gorgosaurus selectively dismembered prey to ingest hindlimbs only","1"
