specimen_pred,clade_pred,name_pred,femur_l,femur_w,radius_l,tibio_l,tibio_w,humerus_l,humerus_w,dentary,total_length,mass_pred,mass_sd,mass_source,source,specimen_prey,clade_prey,name_prey,femur_l_p,femur_w_p,humerus_l_p,humerus_w_p,radius_l_p,tibio_l_p,total_l_p,other,element_prey1,mass_prey,mass_prey_sd,method,source,certainty
SNSB-BSPG-AS-I-563,Theropoda,Compsognathus_longipes,71.5,9.15,24.7,85,5.6,39,4.48,42.9,,1567,1602,benson,Ostrom_1978,SNSB-BSPG-AS-I-563b,Squamata,Schoenesmahl_dyspepsia,18.2,2.1,13.5,4.1,,16.9,,,femur_length,,,,Conrad_2017,1
AMNH-FR-7224,Theropoda,Coelophysis_bauri,203,,82,221,,134,,,,11680,1565,brms_benson,Rinehartetal_2009,AMNH-FR-30616,Crocodylomorpha,Hesperosuchus,71.2,8.95,,,,,,,femur_length,,,,Nesbittetal_2006,1
QM-V1002,Theropoda,Microraptor_gui,109,9.28,93.46,164.91,7.32,106.28,8.04,,,1872,1605,brms_benson,Xingetal_2013,,Osteichthyes,,,,,,,,,6.7,fin_ray_length,,,,Xingetal_2013,1
IVPP-V17972,Theropoda,Microraptor_gui,82.3,6.51,75.85,140.4,5.91,89.4,4.5,,,764,1606,brms_benson,Oconnoretal_2011,,Theropoda,Enantiornithes,,,,,,,,,,65,,Oconnoretal_2011,Oconnoretal_2011,1
STM0-179,Theropoda,Anchiornis,71,,,,,,,,,924,1648,brms_benson,Zhengetal_2018,,Squamata,,8.04,,,,,,,,femur_length,,,,Zhengetal_2018,1
STM0-179,Theropoda,Anchiornis,71,,,,,,,,,924,1648,brms_benson,Zhengetal_2018,,Squamata,,,,6.24,,,,,,humerus_length,,,,Zhengetal_2018,1
STM0-179,Theropoda,Anchiornis,71,,,,,,,,,924,1648,brms_benson,Zhengetal_2018,,Squamata,,,,7.49,,,,,,humerus_length,,,,Zhengetal_2018,1
STM0-179,Theropoda,Anchiornis,71,,,,,,,,,924,1648,brms_benson,Zhengetal_2018,,Squamata,,,,6.99,,,,,,humerus_length,,,,Zhengetal_2018,1
STM0-179,Theropoda,Anchiornis,71,,,,,,,,,924,1648,brms_benson,Zhengetal_2018,,Squamata,,5.15,,,,,,,,femur_length,,,,Zhengetal_2018,1
NIGP-127587,Theropoda,Sinosauropteryx_primus,86.4,8.12,30.52,105.67,12,36.06,,,,,,benson_RECOMPUTE_from_FL_86.4,Chen_et_al_1998_Nature_femur+Smithwicketal_2017_other,,Squamata,Dalinghosaurus,22.31,,,,,,,,femur_length,,,,Smithwicketal_2017,1
JMP-V-05-8-01,Theropoda,Sinocalliopteryx_gigas,152.3,20.6,100.7,166,19.6,73.63,10.46,,,8317,1647,brms_benson,Xingetal_2012,,Theropoda,Sinornithosaurus,,,,,,89.6,,,tibiotarsus_length,942,,brms_benson,Xingetal_2012,1
CAGS-IG-T1,Theropoda,Sinocalliopteryx_gigas,,,118.6,,,,,,,55570,7161,brms_benson,Xingetal_2012,,Theropoda,Confuciusornis,,,42.7,4.73,32.28,,,,humerus_length,230,,brms_benson,Xingetal_2012,1
CAGS-IG-T1,Theropoda,Sinocalliopteryx_gigas,,,118.6,,,,,,,56408,7040,brms_benson,Xingetal_2012,,Ornithischia,cfPsittacosaurus,,,,,,,,135,scapula_length,10606.60465,,scaled_from_IVPP_12_0888_2,Xingetal_2012,1
GMV-2124,Theropoda,Sinosauropteryx_prima,93.07,7.41,,147.28,9.96,,,,,1728,1655,brms_benson,Hurumetal_2006,,Mammalia,Zhangheotherium,,,,,,,,27.4,dentary_length,,,,Hurumetal_2006,1
GMV-2124,Theropoda,Sinosauropteryx_prima,93.07,7.41,,147.28,9.96,,,,,1731,1652,brms_benson,Hurumetal_2006,,Mammalia,Sinobaatar,,,,,,,,6.2,dentary_height,,,,Hurumetal_2006,1
OTM-200,Theropoda,Daspletosaurus,609,,,,,,,609,,1375938.462,,scaled_benson_dentary_from_Currie_2003_APP_for_NMC8506,Varricchio_2001,OTM-201,Ornithischia,Hadrosaur,,,,,,,1100,,total_length,,,,Varricchio_2001,1
OTM-200,Theropoda,Daspletosaurus,609,,,,,,,609,,1375938.462,,scaled_benson_dentary_from_Currie_2003_APP_for_NMC8506,Varricchio_2001,OTM-201,Ornithischia,Hadrosaur,,,,,,,3000,,total_length,,,,Varricchio_2001,1
GI-SPS-100/25,Theropoda,Velociraptor_mongoliensis,190,,88,235,,180,,,1700,18840,,benson,Carpenter_2000,GI-SPS-100/512,Ornithischia,Protoceratops_andrewsi,,,,,,,1250,,total_length,,,,Carpenter_2000,1
SALERNO,Theropoda,Scipionyx_samniticus,,,,,,,,,,220,,benson,DalSassoMaganuco_2011,,Osteichthyes,Indet,,,,,,,45,,total_length,,,,DalSassoMaganuco_2011,1
SALERNO,Theropoda,Scipionyx_samniticus,,,,,,,,,,220,,benson,DalSassoMaganuco_2011,,Osteichthyes,Indet,,,,,,,25,,total_length,,,,DalSassoMaganuco_2011,1
SALERNO,Theropoda,Scipionyx_samniticus,,,,,,,,,,220,,benson,DalSassoMaganuco_2011,,Squamata,Indet,,,,,,,110,,total_length,,,,DalSassoMaganuco_2011,1
SALERNO,Theropoda,Scipionyx_samniticus,,,,,,,,,,220,,benson,DalSassoMaganuco_2011,,Squamata,Indet,,,,,,,275,,total_length,,,,DalSassoMaganuco_2011,1
,Theropoda,Velociraptor_mongoliensis,,,,,,,,,,13000,,hone,Honeetal_2012,,Pterosauria,Azdarchid,,,,,,,,,,9000,,,Honeetal_2012,1
