"file","path","category","format","size_kb","obstype_hint","status","target_table","n_obs","ref_ids","date_added","date_processed","notes"
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","pdfs/_processed/extant_data/new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","extant_data","xlsx","14","gut","done","data/structured/gator_jekyll_stomach.csv","69","","2026-05-29","2026-05-29","croc GUT; 27 gators; predator mass needs TL->mass regression"
"new_RaptorDiets_Metadata.csv","pdfs/_processed/extant_data/new_RaptorDiets_Metadata.csv","extant_data","csv","650","pellet+gut(mixed)","structured","data/structured/raptor_diets_long.csv","3538","","2026-05-29","2026-05-29","RaptorDiets DB; mostly pellets; gut subset in raptor_diets_gut.csv; masses pending AVONET"
"new_RaptorDiets.csv","pdfs/_processed/extant_data/new_RaptorDiets.csv","extant_data","csv","5716","pellet+gut(mixed)","structured","data/structured/raptor_diets_long.csv","58533","","2026-05-29","2026-05-29","RaptorDiets DB; mostly pellets; gut subset in raptor_diets_gut.csv; masses pending AVONET"
"TuckerDatabaseJEB.xlsx","pdfs/_processed/extant_data/TuckerDatabaseJEB.xlsx","extant_data","xlsx","81","compiled_mean","structured","data/structured/tucker2016_mammal_ppmr.csv","107","","2026-05-29","2026-05-29","Tucker et al 2016 supplement: 114 carnivorous mammal spp (terr+marine), species-mean predator/prey mass (log10 kg -> ppmr_ln); compiled means, not gut-specific"
"10605-34203-1-SM.pdf","pdfs/extant_to_ingest/toadd/10605-34203-1-SM.pdf","extant_pdf","pdf","994","unknown","queued","",NA,"","2026-05-29","",""
"2017_Biawak.pdf","pdfs/extant_to_ingest/ai_found/2017_Biawak.pdf","extant_pdf","pdf","4606","unknown","queued","",NA,"","2026-05-29","",""
"302pythonsinthepergola.pdf","pdfs/extant_to_ingest/ai_found/302pythonsinthepergola.pdf","extant_pdf","pdf","162","unknown","queued","",NA,"","2026-05-29","",""
"31999.pdf","pdfs/extant_to_ingest/literature/31999.pdf","extant_pdf","pdf","3301","unknown","queued","",NA,"","2026-05-29","",""
"AfricanOwlBodySizes.pdf","pdfs/extant_to_ingest/toadd/AfricanOwlBodySizes.pdf","extant_pdf","pdf","55","pellet","queued","",NA,"","2026-05-29","",""
"Alligator_Diet_in_Relation_to_Alligator (1).pdf","pdfs/extant_to_ingest/ai_found/Alligator_Diet_in_Relation_to_Alligator (1).pdf","extant_pdf","pdf","307","unknown","queued","",NA,"","2026-05-29","",""
"AllVaranus_NoTables_But_Lots_of_Sources.pdf","pdfs/extant_to_ingest/toadd/AllVaranus_NoTables_But_Lots_of_Sources.pdf","extant_pdf","pdf","308","unknown","queued","",NA,"","2026-05-29","",""
"Ameiva_exsul.pdf","pdfs/extant_to_ingest/toadd/Ameiva_exsul.pdf","extant_pdf","pdf","469","unknown","queued","",NA,"","2026-05-29","",""
"ameivadiet.pdf","pdfs/extant_to_ingest/toadd/ameivadiet.pdf","extant_pdf","pdf","1306","unknown","queued","",NA,"","2026-05-29","",""
"ancedote_burmesepython.pdf","pdfs/extant_to_ingest/ai_found/ancedote_burmesepython.pdf","extant_pdf","pdf","18537","unknown","queued","",NA,"","2026-05-29","",""
"Athenecunicularia_Argentina_nopreytable.pdf","pdfs/extant_to_ingest/toadd/Athenecunicularia_Argentina_nopreytable.pdf","extant_pdf","pdf","316","unknown","queued","",NA,"","2026-05-29","",""
"Avrahami et al.. 2018 Mussentuchit microverts.pdf","pdfs/extant_to_ingest/toadd/Avrahami et al.. 2018 Mussentuchit microverts.pdf","extant_pdf","pdf","10862","unknown","queued","",NA,"","2026-05-29","",""
"BaldEagleAlaska2.pdf","pdfs/extant_to_ingest/toadd/BaldEagleAlaska2.pdf","extant_pdf","pdf","630","unknown","queued","",NA,"","2026-05-29","",""
"BaldEagleFOSSILCalifornia.pdf","pdfs/extant_to_ingest/toadd/BaldEagleFOSSILCalifornia.pdf","extant_pdf","pdf","1468","unknown","queued","",NA,"","2026-05-29","",""
"BaldEagleNovaScotia.pdf","pdfs/extant_to_ingest/toadd/BaldEagleNovaScotia.pdf","extant_pdf","pdf","523","unknown","queued","",NA,"","2026-05-29","",""
"BarnOwlLittleOwlGreece.pdf","pdfs/extant_to_ingest/toadd/BarnOwlLittleOwlGreece.pdf","extant_pdf","pdf","173","pellet","queued","",NA,"","2026-05-29","",""
"BarnOwlOhio.pdf","pdfs/extant_to_ingest/toadd/BarnOwlOhio.pdf","extant_pdf","pdf","622","pellet","queued","",NA,"","2026-05-29","",""
"BarnOwlOregon.pdf","pdfs/extant_to_ingest/toadd/BarnOwlOregon.pdf","extant_pdf","pdf","379","pellet","queued","",NA,"","2026-05-29","",""
"BarredMeta.pdf","pdfs/extant_to_ingest/toadd/BarredMeta.pdf","extant_pdf","pdf","573","unknown","queued","",NA,"","2026-05-29","",""
"BobcatArkansas.pdf","pdfs/extant_to_ingest/toadd/BobcatArkansas.pdf","extant_pdf","pdf","966","unknown","queued","",NA,"","2026-05-29","",""
"BobcatVermont.pdf","pdfs/extant_to_ingest/toadd/BobcatVermont.pdf","extant_pdf","pdf","829","unknown","queued","",NA,"","2026-05-29","",""
"BuboUtah.pdf","pdfs/extant_to_ingest/toadd/BuboUtah.pdf","extant_pdf","pdf","150","unknown","queued","",NA,"","2026-05-29","",""
