"role","key","clade","type","n_rec","suggested_source"
"prey","Indet Aves","AVES","vertebrate (look up)",153,"AVONET / EltonTraits-Bird"
"prey","Passerine Aves_Passeriformes","AVES","vertebrate (look up)",63,"AVONET / EltonTraits-Bird"
"prey","Indet Mammalia","MAMMALIA","vertebrate (look up)",60,"PanTHERIA / EltonTraits-Mammal"
"prey","Indet Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",55,"PanTHERIA / EltonTraits-Mammal"
"prey","Insect INVERT_Insecta","INVERT","invertebrate",52,"invertebrate length-mass regressions"
"prey","Coleoptera INVERT_Insecta_Coleoptera","INVERT","invertebrate",43,"invertebrate length-mass regressions"
"prey","Plant PLANT","PLANT","non-animal (exclude?)",35,""
"prey","Fish Actinopterygii","ACTINOPTERYGII","vertebrate (look up)",34,"FishBase"
"prey","Indet INVERT_Insecta","INVERT","invertebrate",27,"invertebrate length-mass regressions"
"prey","Muridae Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",25,"PanTHERIA / EltonTraits-Mammal"
"prey","Indet INVERT_Insecta_Coleoptera","INVERT","invertebrate",21,"invertebrate length-mass regressions"
"prey","Indet Aves_Passeriformes","AVES","vertebrate (look up)",20,"AVONET / EltonTraits-Bird"
"prey","Eggs Eggs","EGGS","non-animal (exclude?)",17,""
"prey","Acrididae INVERT","INVERT","invertebrate",16,"invertebrate length-mass regressions"
"prey","Tenebrionidae INVERT","INVERT","invertebrate",16,"invertebrate length-mass regressions"
"prey","Indet INVERT_Insecta_Orthoptera","INVERT","invertebrate",16,"invertebrate length-mass regressions"
"prey","Microtinae Mammalia_Rodentia","MAMMALIA","vertebrate (look up)",15,"PanTHERIA / EltonTraits-Mammal"
"prey","Anatidae Aves_Anseriformes","AVES","vertebrate (look up)",14,"AVONET / EltonTraits-Bird"
"prey","Insecta INVERT_Insecta","INVERT","invertebrate",13,"invertebrate length-mass regressions"
"prey","Formicidae INVERT_Insecta_Hymenoptera","INVERT","invertebrate",13,"invertebrate length-mass regressions"
"prey","Unidentified INVERT","INVERT","invertebrate",11,"invertebrate length-mass regressions"
"prey","Hymenoptera INVERT_Insecta_Hymenoptera","INVERT","invertebrate",10,"invertebrate length-mass regressions"
"prey","Orthoptera INVERT_Insecta_Orthoptera","INVERT","invertebrate",9,"invertebrate length-mass regressions"
"prey","Aves Eggs","EGGS","non-animal (exclude?)",9,""
"prey","Picidae Aves_Piciformes","AVES","vertebrate (look up)",9,"AVONET / EltonTraits-Bird"
"prey","Coleoptera_adult INVERT","INVERT","invertebrate",8,"invertebrate length-mass regressions"
