"key","mass_g","source","clade"
"Aythya Aves_Anseriformes",818.58,"avonet_genus_mean","AVES"
"Larus Aves_Charadriiformes",686.83,"avonet_genus_mean","AVES"
"Parus_montanus Aves_Passeriformes",15.15,"avonet_genus_mean","AVES"
"Passer Aves_Passeriformes",23.94,"avonet_genus_mean","AVES"
"Bos_taurus Mammalia_Artiodactyla_Bovidae",613000,"pantheria_binomial","MAMMALIA"
"Bos_taurus_grunniens Mammalia_Artiodactyla_Bovidae",665200,"pantheria_genus_mean","MAMMALIA"
"Capra_hircus Mammalia_Artiodactyla_Bovidae",46900,"pantheria_binomial","MAMMALIA"
"Ovis_aries Mammalia_Artiodactyla_Bovidae",34200,"pantheria_binomial","MAMMALIA"
"Martes Mammalia_Carnivora_Caniformia",1789,"pantheria_genus_mean","MAMMALIA"
"Mustela Mammalia_Carnivora_Caniformia",621.99,"pantheria_genus_mean","MAMMALIA"
"Ursus_maritimus Mammalia_Carnivora_Caniformia",375000,"pantheria_binomial","MAMMALIA"
"Nycteris_major Mammalia_Chiroptera",12.62,"pantheria_genus_mean","MAMMALIA"
"Crocidura Mammalia_Euliptophyla_Sorcidae",13.25,"pantheria_genus_mean","MAMMALIA"
"Macropus_parma Mammalia_Metatheria",4160,"pantheria_binomial","MAMMALIA"
"Petauroides_volans Mammalia_Metatheria",1260,"pantheria_binomial","MAMMALIA"
"Potorous_tridactylus Mammalia_Metatheria",1090,"pantheria_binomial","MAMMALIA"
"Thylogale_thetis Mammalia_Metatheria",5400,"pantheria_binomial","MAMMALIA"
"Equus_cabalis Mammalia_Perissodactyla_Equidae",295333.33,"pantheria_genus_mean","MAMMALIA"
"Arctocephalus Mammalia_Phocidae",96575,"pantheria_genus_mean","MAMMALIA"
"Dipodomys Mammalia_Rodentia",72.24,"pantheria_genus_mean","MAMMALIA"
"Otomys Mammalia_Rodentia",123.75,"pantheria_genus_mean","MAMMALIA"
"Perognathus Mammalia_Rodentia",13.51,"pantheria_genus_mean","MAMMALIA"
"Sciurus Mammalia_Rodentia",461.04,"pantheria_genus_mean","MAMMALIA"
