id,species,clade,femur,tibio,humerus,radius,mass
1,Apatosaurus_minimus,Sauropodomorpha,NA,NA,NA,NA,NA
2,Cetiosauriscus_greppini,Sauropodomorpha,NA,520,560,NA,NA
3,Cetiosaurus_glymptonensis,Sauropodomorpha,NA,NA,NA,NA,NA
4,Gyposaurus_sinensis,Sauropodomorpha,235.5,202,150,85,3.8E+01
5,Huanghetitan_ruyangensis,Sauropodomorpha,NA,NA,NA,NA,NA
6,Morosaurus_agilis,Sauropodomorpha,NA,NA,NA,NA,NA
7,Pelorosaurus_becklesii,Sauropodomorpha,NA,NA,600,414,NA
8,Yunnanosaurus_youngi,Sauropodomorpha,NA,NA,NA,NA,NA
9,Aardonyx_celestae,Sauropodomorpha,NA,NA,NA,283,NA
10,Abrosaurus_dongpoensis,Sauropodomorpha,NA,NA,NA,NA,NA
11,Adamantisaurus_mezzalirai,Sauropodomorpha,NA,NA,NA,NA,NA
12,Adeopapposaurus_mognai,Sauropodomorpha,230,212,159,99,4.4E+01
13,Aegyptosaurus_baharijensis,Sauropodomorpha,1290,890,1000,NA,NA
14,Aeolosaurus_maximus,Sauropodomorpha,1550,NA,NA,NA,NA
15,Aeolosaurus_colhuehuapensis,Sauropodomorpha,NA,NA,NA,NA,NA
16,Aeolosaurus_rionegrinus,Sauropodomorpha,NA,670,925,580,NA
17,Aeolosaurus_sp.,Sauropodomorpha,NA,NA,NA,NA,NA
18,Agustinia_ligabuei,Sauropodomorpha,NA,840,NA,NA,NA
19,Alamosaurus_sanjuanensis,Sauropodomorpha,NA,NA,1503,NA,3.5E+04
20,Amargasaurus_cazaui,Sauropodomorpha,1050,640,720,470,1.1E+04
21,Amargatitanis_macni,Sauropodomorpha,1118,NA,NA,NA,NA
22,Amazonsaurus_maranhensis,Sauropodomorpha,NA,NA,NA,NA,NA
23,Anchisaurus_polyzelus,Sauropodomorpha,275,260,NA,NA,1.4E+02
24,Ampelosaurus_atacis,Sauropodomorpha,710,NA,657,NA,2.5E+03
25,Amphicoelias_altus,Sauropodomorpha,1770,NA,NA,NA,NA
26,Amygdalodon_patagonicus,Sauropodomorpha,NA,NA,NA,NA,NA
27,Andesaurus_delgadoi,Sauropodomorpha,NA,NA,NA,NA,NA
28,Angolatitan_adamastor,Sauropodomorpha,NA,NA,1100,630,NA
29,Antarctosaurus_wichmannianus,Sauropodomorpha,2280,NA,NA,NA,NA
30,Antarctosaurus_brasilensis,Sauropodomorpha,NA,NA,NA,NA,2.0E+04
31,Antetonitrus_ingenipes,Sauropodomorpha,794,512,717,376,5.6E+03
32,Apatosaurus_excelsus,Sauropodomorpha,1725,1060,1080,786,3.1E+04
33,Apatosaurus_louisae,Sauropodomorpha,1785,1115,1150,800,4.1E+04
34,Apatosaurus_ajax,Sauropodomorpha,1870,1130,NA,780,3.3E+04
35,Apatosaurus_yahnahpin,Sauropodomorpha,NA,1070,1100,648,NA
36,Apatosaurus_parvus,Sauropodomorpha,1700,1068,1130,730,2.4E+04
37,Aragosaurus_ischiaticus,Sauropodomorpha,1420,NA,1120,792,NA
38,Archaeodontosaurus_descouensi,Sauropodomorpha,NA,NA,NA,NA,NA
