source_file,bird_species,bird_common,bird_family,obstype,study_type_raw,prey_class,prey_order,prey_family,prey_genus,prey_scientific,prey_stage,fraction_diet,diet_type,pred_mass_g,prey_mass_g,location_region,year,season,item_n,bird_n,ppmr_ln
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteo platypterus,Broad-winged Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus audubonii,"",0.0169,Items,453.7,883,Iowa;Minnesota,1933,summer,177,17,0.665889013934041
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteo platypterus,Broad-winged Hawk,Accipitridae,Stomach,stomach contents,Mammalia,Rodentia,Sciuridae,Spermophilus,"","",0.0056,Items,453.7,353.233333333333,Iowa;Minnesota,1933,summer,177,17,-0.250307347157237
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteogallus anthracinus,Common Black Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Cardinalidae,Spiza,Spiza americana,"",0.075,Wt_or_Vol,975.1,26.2,New Mexico,1928,spring,,1,-3.61678061907402
"aviandietdb (Hurlbert et al. 2021, R pkg)",Buteogallus anthracinus,Common Black Hawk,Accipitridae,Stomach,stomach contents,Aves,Passeriformes,Corvidae,Cyanocorax,"","",0.111,Occurrence,975.1,177.245,El Salvador,1912,multiple,,9,-1.70500707357142
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,"",0.009345794,Items,429.7,530.9,Michigan,1941,summer,107,,0.211486388808677
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Odontophoridae,Colinus,Colinus virginianus,"",0.009345794,Items,429.7,171.9,Michigan,1941,summer,107,,-0.916174378392145
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Galliformes,Phasianidae,Phasianus,Phasianus colchicus,"",0.074766355,Items,429.7,1120.3,Michigan,1941,summer,107,,0.958264494783728
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,"",0.009345794,Items,429.7,96.4,Michigan,1941,summer,107,,-1.49458108916445
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,"",0.074766355,Items,429.7,118.9,Michigan,1941,summer,107,,-1.28480448708421
"aviandietdb (Hurlbert et al. 2021, R pkg)",Accipiter cooperii,Cooper's Hawk,Accipitridae,Stomach,emetic,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,"",0.009345794,Items,429.7,64,Michigan,1941,summer,107,,-1.90420420742128
