species,genus,a,b,n_records,length_type,Lmin_cm,Lmax_cm,family,order,class
Pleuronectes platessa,Pleuronectes,0.00986,3.013,16,TL,1.145,70,Pleuronectidae,Pleuronectiformes,Teleostei
Oreochromis niloticus,Oreochromis,0.0299,2.9,37,TL,0.9,53,Cichlidae,Cichliformes,Teleostei
Oreochromis mossambicus,Oreochromis,0.03195,2.9601,24,TL,1.2,35.6,Cichlidae,Cichliformes,Teleostei
Engraulis ringens,Engraulis,0.0046,3.121,5,,,,Engraulidae,Clupeiformes,Teleostei
Orthopristis chrysoptera,Orthopristis,0.019,3.0005,10,SL,1.7,27.2,Haemulidae,Eupercaria/misc,Teleostei
Coryphaena equiselis,Coryphaena,0.019,2.767,4,FL,28.3,145.7,Coryphaenidae,Carangiformes,Teleostei
Abalistes stellatus,Abalistes,0.053735,2.73125,4,FL,7,53.5,Balistidae,Tetraodontiformes,Teleostei
Scyris indica,Scyris,0.0717,2.59,5,TL,11.4,69.5,Carangidae,Carangiformes,Teleostei
Cephalopholis cruentata,Cephalopholis,0.0121,3.082,3,TL,5,29,Epinephelidae,Perciformes/Serranoidei,Teleostei
Epinephelus adscensionis,Epinephelus,0.012905,3.202,4,TL,4,65,Epinephelidae,Perciformes/Serranoidei,Teleostei
Epinephelus guttatus,Epinephelus,0.01435,3.0495,6,FL,13.9,54.5,Epinephelidae,Perciformes/Serranoidei,Teleostei
Epinephelus itajara,Epinephelus,0.0131,3.056,1,,,,Epinephelidae,Perciformes/Serranoidei,Teleostei
Epinephelus morio,Epinephelus,0.02635,2.9595,4,SL,8.2,85,Epinephelidae,Perciformes/Serranoidei,Teleostei
Epinephelus striatus,Epinephelus,0.0097,3.13,11,TL,15,82,Epinephelidae,Perciformes/Serranoidei,Teleostei
Balistes vetula,Balistes,0.0334,2.86745,16,FL,12,65,Balistidae,Tetraodontiformes,Teleostei
Argentina sphyraena,Argentina,0.00413,3.10445,10,TL,2.7,45.5,Argentinidae,Argentiniformes,Teleostei
Benthosema glaciale,Benthosema,0.0106,3.076,17,SL,2,7.4,Myctophidae,Myctophiformes,Teleostei
Clupea harengus,Clupea,0.00633,3.037,117,TL,3.75,39.75,Clupeidae,Clupeiformes,Teleostei
Callionymus reticulatus,Callionymus,0.0178,2.55,5,TL,1,18.5,Callionymidae,Callionymiformes,Teleostei
Callionymus lyra,Callionymus,0.0126,2.6613,16,TL,2.6,30.5,Callionymidae,Callionymiformes,Teleostei
Glyptocephalus cynoglossus,Glyptocephalus,0.0024,3.299,9,TL,3.9,64,Pleuronectidae,Pleuronectiformes,Teleostei
Lepidorhombus boscii,Lepidorhombus,0.00385,3.1975,24,TL,1.4,52.5,Scophthalmidae,Pleuronectiformes,Teleostei
Lepidorhombus whiffiagonis,Lepidorhombus,0.00327,3.215,15,TL,2.5,58,Scophthalmidae,Pleuronectiformes,Teleostei
Merlangius merlangus,Merlangius,0.0067,3.0248,37,TL,3.35,91.5,Gadidae,Gadiformes,Teleostei
Merluccius merluccius,Merluccius,0.0046,3.124,111,TL,2.7,121,Merlucciidae,Gadiformes,Teleostei
Micromesistius poutassou,Micromesistius,0.0039,3.129,25,TL,3,55.5,Gadidae,Gadiformes,Teleostei
Microchirus variegatus,Microchirus,0.0089,3.079,11,TL,2.15,21,Soleidae,Pleuronectiformes,Teleostei
Molva molva,Molva,0.00348,3.1068,4,TL,18.5,172,Lotidae,Gadiformes,Teleostei
Pollachius pollachius,Pollachius,0.00883,2.9965,6,TL,4,94,Gadidae,Gadiformes,Teleostei
Anguilla anguilla,Anguilla,0.0011,3.15,67,TL,5.3,121.5,Anguillidae,Anguilliformes,Teleostei
Agonus cataphractus,Agonus,0.0104,2.8669,3,TL,2.1,18.5,Agonidae,Perciformes/Cottoidei,Teleostei
Ammodytes marinus,Ammodytes,0.00124,3.32,5,TL,3.5,19.25,Ammodytidae,Perciformes/Uranoscopoidei,Teleostei
Ammodytes tobianus,Ammodytes,0.00565,2.77135,6,TL,7.75,24.25,Ammodytidae,Perciformes/Uranoscopoidei,Teleostei
Aphia minuta,Aphia,0.00096,3.54,15,TL,1.2,6.9,Gobiidae,Gobiiformes,Teleostei
Argyropelecus affinis,Argyropelecus,0.01795,3,6,SL,1.5,7.8,Sternoptychidae,Stomiiformes,Teleostei
Arnoglossus laterna,Arnoglossus,0.0071,3.04,29,TL,1.6,24.2,Bothidae,Pleuronectiformes,Teleostei
