"source_file","study","obs_type","pred_class","pred_genus","pred_species","specimen","pred_total_length_cm","pred_svl_cm","pred_sex","pred_mass_g","lat","lon","prey_category","prey_clade","count","prey_total_mass_g","prey_mean_item_mass_g","certainty"
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDF",152,74,"male",NA,31.07591868,-81.41099153,"Fishes","Actinopterygii",2,15.9,7.95,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDF",152,74,"male",NA,31.07591868,-81.41099153,"Insects/Arachnids","Invertebrate",6,0.24,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDF",152,74,"male",NA,31.07591868,-81.41099153,"Mammals","Mammalia",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CDF",152,74,"male",NA,31.07591868,-81.41099153,"Seeds","Plant",2,0.04,0.02,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CR",149.7,72.1,"female",NA,31.07590806,-81.41103383,"Fishes","Actinopterygii",2,0.08,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CR",149.7,72.1,"female",NA,31.07590806,-81.41103383,"Insects/Arachnids","Invertebrate",3,0.48,0.16,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CR",149.7,72.1,"female",NA,31.07590806,-81.41103383,"Seeds","Plant",1,0.5,0.5,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJK",167.2,80,"female",NA,31.05755495,-81.4125615,"Crustaceans","Invertebrate",8,2.5,0.3125,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJK",167.2,80,"female",NA,31.05755495,-81.4125615,"Fishes","Actinopterygii",3,0.24,0.08,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJK",167.2,80,"female",NA,31.05755495,-81.4125615,"Insects/Arachnids","Invertebrate",1,0.3,0.3,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CGH",169.2,86.9,"female",NA,31.06580928,-81.41632149,"Fishes","Actinopterygii",15,3.14,0.209333333333333,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CGH",169.2,86.9,"female",NA,31.06580928,-81.41632149,"Insects/Arachnids","Invertebrate",2,1.14,0.57,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BFN",94.5,46.8,"female",NA,31.07499145,-81.42126536,"Gastropods","Invertebrate",2,0.04,0.02,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BFN",94.5,46.8,"female",NA,31.07499145,-81.42126536,"Insects/Arachnids","Invertebrate",9,5.78,0.642222222222222,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BFN",94.5,46.8,"female",NA,31.07499145,-81.42126536,"Mammals","Mammalia",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BFN",94.5,46.8,"female",NA,31.07499145,-81.42126536,"Seeds","Plant",1,0.5,0.5,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BEF",132.5,60.2,"female",NA,31.07562863,-81.41091388,"Fishes","Actinopterygii",1,21.2,21.2,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BEF",132.5,60.2,"female",NA,31.07562863,-81.41091388,"Gastropods","Invertebrate",4,0.04,0.01,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","BEF",132.5,60.2,"female",NA,31.07562863,-81.41091388,"Insects/Arachnids","Invertebrate",9,3.24,0.36,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CEG",56.8,27.9,"male",NA,31.0708141,-81.4112424,"Fishes","Actinopterygii",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CEG",56.8,27.9,"male",NA,31.0708141,-81.4112424,"Insects/Arachnids","Invertebrate",19,2.34,0.123157894736842,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CIK",87.5,39,"female",NA,31.0708141,-81.4112424,"Insects/Arachnids","Invertebrate",15,10.54,0.702666666666667,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CGM",56.8,27.6,"male",NA,31.0694608,-81.4122728,"Insects/Arachnids","Invertebrate",16,1.72,0.1075,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","ER",155.1,73.5,"NA",12000,31.0708141,-81.4112424,"Birds","Aves",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","ER",155.1,73.5,"NA",12000,31.0708141,-81.4112424,"Fishes","Actinopterygii",1,1.5,1.5,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","ER",155.1,73.5,"NA",12000,31.0708141,-81.4112424,"Insects/Arachnids","Invertebrate",5,4.48,0.896,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CHM",128.6,60.5,"female",5400,31.0684258,-81.4174486,"Crustaceans","Invertebrate",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CHM",128.6,60.5,"female",5400,31.0684258,-81.4174486,"Insects/Arachnids","Invertebrate",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CIM",122,59,"female",5500,31.05753501,-81.4125704,"Birds","Aves",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CIM",122,59,"female",5500,31.05753501,-81.4125704,"Crustaceans","Invertebrate",3,2.14,0.713333333333333,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CIM",122,59,"female",5500,31.05753501,-81.4125704,"Insects/Arachnids","Invertebrate",9,0.08,0.00888888888888889,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CIM",122,59,"female",5500,31.05753501,-81.4125704,"Seeds","Plant",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJM",77.8,33.8,"male",NA,31.0729586,-81.4060903,"Crustaceans","Invertebrate",1,0.2,0.2,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJM",77.8,33.8,"male",NA,31.0729586,-81.4060903,"Fishes","Actinopterygii",1,0.04,0.04,1
"new_Body_size_measurements_and_stomach_contents_of_Alligator_mississippiensis_on_Jekyll_Island__Georgia.xlsx","Jekyll_Island_GA_2019","Stomach","Crocodylia","Alligator","mississippiensis","CJM",77.8,33.8,"male",NA,31.0729586,-81.4060903,"Gastropods","Invertebrate",1,0.04,0.04,1
