"source_file","dataset","study","obstype","methods_all","pred_order","pred_family","pred_genus","pred_species","pred_mass_g","prey_class","prey_order","prey_species","prey_id_level","prey_mass_g","count","percent","country","lat","lon","year"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Micromys minutus","Species",NA,183,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Clethrionomys glareolus","Species",NA,33,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Aves","Passeriformes","Passeriformes","Order",NA,6,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Cricetidae","Family",NA,6,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Microtus agrestis","Species",NA,222,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Arvicola amphibius","Species",NA,17,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Rattus norvegicus","Species",NA,94,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Sciurus vulgaris","Species",NA,28,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Eulipotyphla","Erinaceus europaeus","Species",NA,33,NA,"Finland",65,25.46,"1968.5"
"new_RaptorDiets.csv",218,"Mikkola and Tornberg 2014","Stomach","Stomach","Strigiformes","Strigidae","Bubo","Bubo bubo",NA,"Mammalia","Rodentia","Ondatra zibethicus","Species",NA,6,NA,"Finland",65,25.46,"1968.5"
