"source_file","dataset","species","clade","habitat","obs_type","pred_mass_g","prey_mass_g","ppmr_ln","predmass_ln","prey_sources","pred_sources"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Arctocephalus_gazella","Mammalia","marine","compiled_literature_mean",34003.3,15.94,-7.665,10.434,"Ciaputa et al. 2006","Staniland et al. 2010"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Arctocephalus_tropicalis","Mammalia","marine","compiled_literature_mean",33125,46.02,-6.579,10.408,"Ciaputa et al. 2006, Robinson et al. 2002","DeBruyn et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaena_mysticetus","Mammalia","marine","compiled_literature_mean",31074990.2,0.13,-19.289,17.252,"Pomerleau et al. 2011","Heide-Jorgensen et al. 2007"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaenoptera_acutorostrata","Mammalia","marine","compiled_literature_mean",5587093.6,0.101,-17.829,15.536,"Smout et al. 2007, Weslawski et al. 2006","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaenoptera_borealis","Mammalia","marine","compiled_literature_mean",22106252,0.018,-20.954,16.911,"Weslawski et al. 2006, Kenney et al. 1997","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaenoptera_edeni","Mammalia","marine","compiled_literature_mean",2e+07,215.45,-11.439,16.811,"Froese & Pauly 2011, Hart et al. 1973, Tershy 1992, Weslawski et al. 2006","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaenoptera_musculus","Mammalia","marine","compiled_literature_mean",154321304.5,0.497,-19.554,18.855,"Mizdalski 1988, Fiedler 1998","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Balaenoptera_physalus","Mammalia","marine","compiled_literature_mean",47506008.2,0.084,-20.156,17.676,"Tershey et al. 1973, Weslawski et al. 2006","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Berardius_arnuxii","Mammalia","marine","compiled_literature_mean",7e+06,669.25,-9.255,15.761,"Jefferson et al. 1993, Culik 2010","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Berardius_bairdii","Mammalia","marine","compiled_literature_mean",11380000,669.25,-9.741,16.247,"Walker et al. 2002","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Callorhinus_ursinus","Mammalia","marine","compiled_literature_mean",55464.8,282.406,-5.28,10.924,"Kurle et al. 2001","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Caperea_marginata","Mammalia","marine","compiled_literature_mean",3.2e+07,0.008,-22.152,17.281,"Mizdalski 1988, Jefferson 1993","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Cephalorhynchus_commersonii","Mammalia","marine","compiled_literature_mean",72400,278.363,-5.561,11.19,"Clarke et al. 1994","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Cephalorhynchus_heavisidii","Mammalia","marine","compiled_literature_mean",75000,475.828,-5.06,11.225,"Elwin et al. 2006, Eder et al. 2005","Elwin et al. 2006"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Cephalorhynchus_hectori","Mammalia","marine","compiled_literature_mean",50000,731.5,-4.225,10.82,"Meynier et al. 2009, Wilcox et al. 2001","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Cystophora_cristata","Mammalia","marine","compiled_literature_mean",367000,0.127,-14.877,12.813,"Vilhjamsson 2002, Hammil 2000","Bajzak et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Delphinapterus_leucas","Mammalia","marine","compiled_literature_mean",14999991.1,0.119,-18.652,16.524,"Dahl et al. 2000, Weslawski et al. 2006","Hobbs et al. 2005"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Delphinus_delphis","Mammalia","marine","compiled_literature_mean",79271.7,339,-5.455,11.281,"Eder et al. 2005, Romero et al. 2012,","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Enhydra_lutris","Mammalia","marine","compiled_literature_mean",27500,185.935,-4.997,10.222,"Wolt et al. 2012, Kvitek et al. 1992, Mc Mahon 1979, Menge 1979,","Ralls et al. 1996"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Erignathus_barbatus","Mammalia","marine","compiled_literature_mean",280000,0.216,-14.075,12.543,"Weslawski et al. 2006, Hjelset et al. 1990","Jones et al. 2009"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Eschrichtius_robustus","Mammalia","marine","compiled_literature_mean",17285000,0.001,-23.617,16.665,"Pritchard et al. 1979, Weslawski et al. 2006, Dunham et al. 2002, Griffen et al. 2004","Lockyer 1976"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Eubalaena_glacialis","Mammalia","marine","compiled_literature_mean",4e+07,0,-26.843,17.504,"Baumgartner et al. 2005, Weslawski et al. 2006, Mayo et al. 1990","Kenney 1986"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Eumetopias_jubatus","Mammalia","marine","compiled_literature_mean",2730002.2,219.801,-9.427,14.82,"Kurle et al. 2001, Sinclair et al. 2002, Van Pelt et al. 1997, Smith et al. 1988","Merrick et al.  1997"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Feresa_attenuata","Mammalia","marine","compiled_literature_mean",170000,230.3,-6.604,12.044,"Zerbini et al. 1997, Santos et al. 1997,","Stuart & Stuart 2001"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Globicephala_melas","Mammalia","marine","compiled_literature_mean",1249000,196.6,-8.757,14.038,"Clarke et al. 1994","Heide jorgenson  2002"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Halichoerus_grypus","Mammalia","marine","compiled_literature_mean",83270.1,10133.333,-2.106,11.33,"Hammill et al. 2000,  Weslawski et al. 2006, Vihjlmsson et al. 2002, Van Pelt et al. 1997","Sjoberg and Ball 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Hydrurga_leptonyx","Mammalia","marine","compiled_literature_mean",343170,51394.4,-1.899,12.746,"Hall Apsland et al. 2004, Mizdalski 1988, Adam 2005","Rogers et al."
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Hyperoodon_ampullatus","Mammalia","marine","compiled_literature_mean",6700000,96.804,-11.145,15.718,"Ainley et al. 2004","Noren 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Kogia_breviceps","Mammalia","marine","compiled_literature_mean",363000,195.62,-7.526,12.802,"West et al. 2009","Noren 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Lagenorhynchus_obliquidens","Mammalia","marine","compiled_literature_mean",120000,99.225,-7.098,11.695,"Morton et al. 2000, Vilhjamsson 2002, Kurle et al. 2001","Noren 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Leptonychotes_weddellii","Mammalia","marine","compiled_literature_mean",412500,142.59,-7.97,12.93,"Casaux et al. 2008, O'Droscoll et al. 2011, Kock et al. 2008, Artigues et al. 2003","Bornemann et al. 2003"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Lissodelphis_borealis","Mammalia","marine","compiled_literature_mean",115000,48.842,-7.764,11.653,"Jefferson et al. 1993, Clarke et al. 1994, Watanabe et al. 1999","Noren 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Lobodon_carcinophaga","Mammalia","marine","compiled_literature_mean",250000,15.314,-9.7,12.429,"Artigues et al. 2003, Huckstadt et al. 2012, Mizdalski 1988","Bornemann et al. 2005, Southwell 2003"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Lontra_canadensis","Mammalia","marine","compiled_literature_mean",9400,98.335,-4.56,9.148,"Reid et al. 1994, Noguchi et al. 1991, Palace et al. 2001","Blundell et al. 2000"
"TuckerDatabaseJEB.xlsx","Tucker_et_al_2016_JEB","Megaptera_novaeangliae","Mammalia","marine","compiled_literature_mean",32977140.9,0.501,-18.002,17.311,"Friedlaender  et al. 2008, Mizdalski 1988","Dall Rosa et al. 2008"
